id;code;name;description;location;zone_id;station_id
1668;877A;Cota 40, Cruz Vermelha, D;Cota 40, Cruz Vermelha, D;POINT(-16.9123210906982 32.651683807373);0;
496;645;CAM Agua Mel, S3A;CAM Agua Mel, S3A;POINT(-16.9272217489332 32.6686087587078);0;
186;646;Auxilio Maternal;Auxilio Maternal;POINT(-16.9173370469547 32.6514369400615);0;
300;647;CAM Agua Mel, S4A;CAM Agua Mel, S4A;POINT(-16.9260086204993 32.6713200208683);0;
1442;65;Capela do Amparo, S;Capela do Amparo, S;POINT(-16.9431989595813 32.6445169811627);0;
1439;650C;Renault;Renault;POINT(-16.9214092080231 32.6550725009033);0;
1445;651;Tecnopolo, S;Tecnopolo, S;POINT(-16.9255861718642 32.6602687819852);0;
1451;653;Parreira, S;Parreira, S;POINT(-16.928210404136 32.6623444227757);0;
1452;654A;Praia Formosa, T-43;Praia Formosa, T-43;POINT(-16.9511763756283 32.6428052882738);0;
1450;655;APS Penteada, S;APS Penteada, S;POINT(-16.9283825767018 32.6640988593209);0;
1448;655A;Penteada;Penteada;POINT(-16.9283816090662 32.6640887596425);0;
1291;1071;CAM da Cova do Til, S5A;CAM da Cova do Til, S5A;POINT(-16.9592454204417 32.6555217244889);0;
1771;270;Forca, D;Forca, D;POINT(-16.896523866581 32.64754010986);0;
224;305;Rua Bela S Tiago, S3A;Rua Bela S Tiago, S3A;POINT(-16.8979861883255 32.6482436689784);0;
1742;127;ESTR CMDT C Freitas, S;ESTR CMDT C Freitas, S;POINT(-16.941853103638 32.671216424678);0;
1698;871B;Depois Ribeira, Pizo;Depois Ribeira, Pizo;POINT(-16.9644499190372 32.6527319146892);0;
1719;802A;Antes Tourigalo, Nazaré;Antes Tourigalo, Nazaré;POINT(-16.9370042235486 32.6486786875851);0;
1884;718;TV Tanque, MadShopping;TV Tanque, MadShopping;POINT(-16.9513342043898 32.65934108822);0;
1641;727;Igreja dos Álamos, D;Igreja dos Álamos, D;POINT(-16.9318993473627 32.6652686835732);0;
1649;729;CAM Azinhaga, D2A;CAM Azinhaga, D2A;POINT(-16.9329290466617 32.6683350135667);0;
1425;66;São Martinho, D;São Martinho, D;POINT(-16.9416955032273 32.6500157708343);0;
1423;661;Largo Alamos, Entrada;Largo Alamos, Entrada;POINT(-16.9314817398666 32.6650718730005);0;
1427;663;CAM Santana;CAM Santana;POINT(-16.9306925601917 32.666917095174);0;
1430;66A;Vereda da Vargem, D;Vereda da Vargem, D;POINT(-16.9414498951586 32.6495324510997);0;
1375;450;Rua Cidade Santos, D3A;Rua Cidade Santos, D3A;POINT(-16.9150029187966 32.6642509178531);0;
1413;316;CAM Voltas, Escola, D;CAM Voltas, Escola, D;POINT(-16.8947044517111 32.6645351158083);0;
1592;336;Azinhaga Ausentes, D;Azinhaga Ausentes, D;POINT(-16.9246654510498 32.6555023193359);0;
2454;725;Rua da Quinta do Leme;Rua da Quinta do Leme;POINT(-16.9357028775239 32.6615054645291);0;
1365;265;Caminho Palheiro, S;Caminho Palheiro, S;POINT(-16.891419670918 32.6519341842285);0;
1887;473;ESTR Livramento, Antes CZ;ESTR Livramento, Antes CZ;POINT(-16.9147849794127 32.6671217478518);0;
2203;1142;Rua Clube Choupana, D3A;Rua Clube Choupana, D3A;POINT(-16.8913893625487 32.6637568440406);0;
1;1057;Caminho Novo Galeão, D4A;Caminho Novo Galeão, D4A;POINT(-16.9283123016357 32.673526763916);0;
976;924;Igreja da Graça, D;Igreja da Graça, D;POINT(-16.9486721523051 32.6734656690359);0;
1548;1223;Rua João Paulo II, S5A;Rua João Paulo II, S5A;POINT(-16.9400011438446 32.6387181492818);0;
1762;246;ESTR VISC Cacongo, ESCL, D;ESTR VISC Cacongo, ESCL, D;POINT(-16.8952750435147 32.6570283092072);0;
1444;650E;Rotunda Tecnopolo, D;Rotunda Tecnopolo, D;POINT(-16.9270334831446 32.6594828865876);0;
1437;659;Casa Saude Penteada, S;Casa Saude Penteada, S;POINT(-16.9305466994534 32.6642534751661);0;
1432;65A;CAM ENG Velho, Madibel, D;CAM ENG Velho, Madibel, D;POINT(-16.9412584651248 32.6452086325927);0;
1431;669;Rua Infante Santo;Rua Infante Santo;POINT(-16.9190040876213 32.6449850679076);0;
1467;371A;ESCL Francisco Franco, S;ESCL Francisco Franco, S;POINT(-16.904545089133 32.6527242079047);0;
1282;451;Viaduto Cota 200, S;Viaduto Cota 200, S;POINT(-16.9010234238055 32.6634002238541);0;
1385;323A;Casa Saude C Pestana, S;Casa Saude C Pestana, S;POINT(-16.885228679057 32.6477891616272);0;
